Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:13:06.891586,15:13:08.323728,1,-1.0
1,15:13:06.891586,15:13:08.799032,-1,-1.0
1,15:13:06.891586,15:13:09.173279,-1,-1.0
1,15:13:06.891586,15:13:09.412554,-1,-1.0
1,15:13:06.891586,15:13:09.652264,-1,-1.0
1,15:13:06.891586,15:13:10.028939,-1,-1.0
1,15:13:06.891586,15:13:10.404879,1,-1.0
1,15:13:06.891586,15:13:10.544138,1,-1.0
1,15:13:06.891586,15:13:10.683107,1,-1.0
1,15:13:06.891586,15:13:10.921477,1,-1.0
1,15:13:06.891586,15:13:11.059976,1,-1.0
1,15:13:06.891586,15:13:11.298062,1,-1.0
1,15:13:06.891586,15:13:11.538002,1,-1.0
1,15:13:06.891586,15:13:11.777856,1,-1.0
1,15:13:06.891586,15:13:11.916008,1,-1.0
1,15:13:06.891586,15:13:12.155619,1,-1.0
1,15:13:06.891586,15:13:12.394486,1,-1.0
1,15:13:06.891586,15:13:12.533101,1,-1.0
1,15:13:06.891586,15:13:12.772250,1,-1.0
1,15:13:06.891586,15:13:13.011151,1,-1.0
1,15:13:06.891586,15:13:13.251061,1,-1.0
1,15:13:06.891586,15:13:13.490798,1,-1.0
1,15:13:06.891586,15:13:13.729491,1,-1.0
1,15:13:06.891586,15:13:13.968501,1,-1.0
1,15:13:06.891586,15:13:14.207299,1,-1.0
1,15:13:06.891586,15:13:14.346393,1,-1.0
1,15:13:06.891586,15:13:14.586307,1,-1.0
1,15:13:06.891586,15:13:14.825501,1,-1.0
1,15:13:06.891586,15:13:14.964409,1,-1.0
1,15:13:06.891586,15:13:15.339127,1,-1.0
1,15:13:06.891586,15:13:15.579078,1,-1.0
1,15:13:06.891586,15:13:15.819077,1,-1.0
1,15:13:06.891586,15:13:16.057558,1,-1.0
1,15:13:06.891586,15:13:16.668389,1,-1.0
1,15:13:06.891586,15:13:16.907831,1,-1.0
1,15:13:06.891586,15:13:17.520189,1,-1.0
1,15:13:06.891586,15:13:17.658919,1,-1.0
1,15:13:06.891586,15:13:17.898110,1,-1.0
1,15:13:06.891586,15:13:18.272163,1,-1.0
1,15:13:06.891586,15:13:18.511574,1,-1.0
1,15:13:06.891586,15:13:18.749765,1,-1.0
1,15:13:06.891586,15:13:18.988150,1,-1.0
1,15:13:06.891586,15:13:19.227781,1,-1.0
1,15:13:06.891586,15:13:19.465977,1,-1.0
1,15:13:06.891586,15:13:19.705027,1,-1.0
1,15:13:06.891586,15:13:20.079359,1,-1.0
1,15:13:06.891586,15:13:20.318135,-1,-1.0
1,15:13:06.891586,15:13:20.692688,-1,-1.0
1,15:13:06.891586,15:13:21.066742,-1,-1.0
1,15:13:06.891586,15:13:21.305276,-1,-1.0
1,15:13:06.891586,15:13:21.681104,-1,-1.0
1,15:13:06.891586,15:13:21.920080,-1,-1.0
1,15:13:06.891586,15:13:22.296035,-1,-1.0
1,15:13:06.891586,15:13:22.535548,-1,-1.0
1,15:13:06.891586,15:13:22.911114,-1,-1.0
1,15:13:06.891586,15:13:23.150064,-1,-1.0
1,15:13:06.891586,15:13:23.525198,-1,-1.0
1,15:13:06.891586,15:13:23.902139,-1,-1.0
1,15:13:06.891586,15:13:24.377970,-1,-1.0
1,15:13:06.891586,15:13:24.617095,-1,-1.0
1,15:13:06.891586,15:13:24.856927,-1,-1.0
1,15:13:06.891586,15:13:25.096198,-1,-1.0
1,15:13:06.891586,15:13:25.469625,-1,-1.0
1,15:13:06.891586,15:13:25.843599,-1,-1.0
