Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:38:18.817341,13:38:24.373996,1,-1.0
1,13:38:18.817341,13:38:25.549537,1,-1.0
1,13:38:18.817341,13:38:26.723360,-1,-1.0
1,13:38:18.817341,13:38:27.193716,-1,-1.0
1,13:38:18.817341,13:38:31.890963,-1,-1.0
1,13:38:18.817341,13:38:33.299823,-1,-1.0
1,13:38:18.817341,13:38:34.943193,-1,-1.0
1,13:38:18.817341,13:38:37.422687,1,-1.0
1,13:38:18.817341,13:38:40.845033,1,-1.0
1,13:38:18.817341,13:38:42.856945,-1,-1.0
1,13:38:18.817341,13:38:44.266333,-1,-1.0
1,13:38:18.817341,13:38:46.615254,1,-1.0
1,13:38:18.817341,13:38:48.864123,1,-1.0
1,13:38:18.817341,13:38:50.509737,1,-1.0
1,13:38:18.817341,13:38:52.522662,1,-1.0
1,13:38:18.817341,13:38:54.636624,1,-1.0
1,13:38:18.817341,13:38:56.045088,-1,-1.0
1,13:38:18.817341,13:38:58.530385,-1,-1.0
1,13:38:18.817341,13:39:00.174739,-1,-1.0
1,13:38:18.817341,13:39:01.583913,-1,-1.0
1,13:38:18.817341,13:39:01.718651,-1,-1.0
1,13:38:18.817341,13:39:02.892713,-1,-1.0
1,13:38:18.817341,13:39:06.180477,1,-1.0
1,13:38:18.817341,13:39:06.316222,1,-1.0
1,13:38:18.817341,13:39:09.736827,1,-1.0
1,13:38:18.817341,13:39:11.380859,1,-1.0
1,13:38:18.817341,13:39:12.789421,1,-1.0
1,13:38:18.817341,13:39:14.903023,-1,-1.0
1,13:38:18.817341,13:39:15.038797,-1,-1.0
1,13:38:18.817341,13:39:16.816396,-1,-1.0
1,13:38:18.817341,13:39:20.472681,-1,-1.0
1,13:38:18.817341,13:39:27.275451,1,-1.0
1,13:38:18.817341,13:39:29.756952,1,-1.0
1,13:38:18.817341,13:39:40.790811,1,-1.0
1,13:38:18.817341,13:39:45.485784,1,-1.0
1,13:38:18.817341,13:39:49.144890,1,-1.0
1,13:38:18.817341,13:39:51.023780,1,-1.0
1,13:38:18.817341,13:39:53.272814,1,-1.0
1,13:38:18.817341,13:39:54.817214,1,-1.0
1,13:38:18.817341,13:39:56.693675,1,-1.0
1,13:38:18.817341,13:39:56.829136,1,-1.0
1,13:38:18.817341,13:39:59.075353,1,-1.0
1,13:38:18.817341,13:40:01.189931,1,-1.0
1,13:38:18.817341,13:40:05.785166,-1,-1.0
1,13:38:18.817341,13:40:06.390032,1,-1.0
