Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:21:17.843406,14:21:20.606519,1,-1.0
1,14:21:17.843406,14:21:21.791900,1,-1.0
1,14:21:17.843406,14:21:23.349060,1,-1.0
1,14:21:17.843406,14:21:25.003821,1,-1.0
1,14:21:17.843406,14:21:28.549682,1,-1.0
1,14:21:17.843406,14:21:30.207201,1,-1.0
1,14:21:17.843406,14:21:32.236932,1,-1.0
1,14:21:17.843406,14:21:34.502895,1,-1.0
1,14:21:17.843406,14:21:38.658617,1,-1.0
1,14:21:17.843406,14:21:40.450995,1,-1.0
1,14:21:17.843406,14:21:42.344621,1,-1.0
1,14:21:17.843406,14:21:43.900363,1,-1.0
1,14:21:17.843406,14:21:48.397007,-1,-1.0
1,14:21:17.843406,14:21:49.006118,-1,-1.0
1,14:21:17.843406,14:21:50.190140,-1,-1.0
1,14:21:17.843406,14:21:51.508848,-1,-1.0
1,14:21:17.843406,14:21:53.166327,-1,-1.0
1,14:21:17.843406,14:21:54.587293,-1,-1.0
1,14:21:17.843406,14:21:55.297871,1,-1.0
1,14:21:17.843406,14:21:56.717529,1,-1.0
1,14:21:17.843406,14:21:58.138896,1,-1.0
1,14:21:17.843406,14:21:59.460017,1,-1.0
1,14:21:17.843406,14:22:00.880092,1,-1.0
1,14:21:17.843406,14:22:02.203230,1,-1.0
1,14:21:17.843406,14:22:03.995527,-1,-1.0
1,14:21:17.843406,14:22:05.080164,-1,-1.0
1,14:21:17.843406,14:22:06.267162,-1,-1.0
1,14:21:17.843406,14:22:07.352747,-1,-1.0
1,14:21:17.843406,14:22:08.911852,1,-1.0
1,14:21:17.843406,14:22:11.884866,1,-1.0
1,14:21:17.843406,14:22:14.389343,1,-1.0
1,14:21:17.843406,14:22:15.811117,1,-1.0
1,14:21:17.843406,14:22:17.706677,1,-1.0
1,14:21:17.843406,14:22:19.499897,1,-1.0
1,14:21:17.843406,14:22:21.392892,1,-1.0
1,14:21:17.843406,14:22:22.948503,1,-1.0
